.......ap57..........     .......ap90..........
 16234 taruzyati         14475 taruzyati   
 16236 tark              14477 tark        
 16247 tarj              14487 tarj        
 16252 tard              14492 tard        
 16257 tarb              14497 tarb        
 16264 tal               14503 tal         
 16297 tas               14534 tas         
 16372 tAy               14595 tAy         
 16424 tik               14641 tik         
 16427 tiktAya           ---------------
 16429 tij               14645 tij         
 16451 tip               14665 tip         
 16452 tim               14666 tim         
 16459 timirayati        14673 timirayati  
 16460 timirAyate        14674 timirAyate  
 16464 tirayati          14676 tirayati    
 16466 tiraskf           14678 tiraskf     
 16477 tirasyati         14688 tirasyati   
 16472 tiroDA            14683 tiroDA      
 16475 tiroBU            14686 tiroBU      
 16478 tirohayati        14689 tirohayati  
 16485 til               14695 til         
 16488 tilakAyate        14698 tilakAyate  
 16500 tIk               14709 tIk         
 16502 tIm               14711 tIm         
 16503 tIr               14712 tIr         
 16511 tIrTIkf           14720 tIrTIkf     
 16514 tIv               14723 tIv         
 16517 tIvrayati         14726 tIvrayati   
 16518 tIvrIBU           ---------------
 16519 tu                14727 tu          
 16530 tucCayati         14737 tucCayati   
 16531 tucCIkf           14738 tucCIkf     
 16533 tuj               14740 tuj         
 ---------------      14742 tuMj        
 16535 tuw               14744 tuw         
 16538 tuq               14747 tuq         
 16539 tuqq              14748 tuqq        
 16540 tuR               14749 tuR         
 16541 tuRq              14750 tuMq        
 16550 tutT              14759 tutT        
 16553 tud               14762 tud         
 16559 tund              ---------------
 16567 tup               14773 tup         
 16569 tuB               14774 tuB         
 16571 tumb              14776 tuMb        
 16578 tur               14782 tur         
 16581 turaRyati         14785 turaRyati   
 16598 turv              14802 turv        
 16600 tul               14804 tul         
 16618 tuS               14819 tuS         
 16619 tuz               14820 tuz         
 16632 tus               14833 tus         
 16635 tuh               ---------------
 16637 tuhinay           ---------------
 16638 tUq               14837 tUq         
 16639 tUR               14838 tUR         
 16652 tUr               14847 tUr         
 16659 tUl               14853 tUl         
 16667 tUz               14861 tUz         
 16672 tfMh              14866 tfMh        
 16675 tfkz              14869 tfkz        
 16679 tfR               14872 tfR         
 16685 tfRay             ---------------
 16683 tfRIkf            14876 tfRIkf      
 16691 tfd               14882 tfd         
 16693 tfp               14883 tfp         
 16708 tfz               14896 tfz         
 16721 tfh               14909 tfh         
 16722 tF                14910 tF          
 16745 tej               14933 tej         
 16754 tep               14942 tep         
 16757 tev               14945 tev         
 16787 toq               14970 toq         
 16811 tyaj              14989 tyaj        
 16823 traMs             14998 traMs       
 16824 traNk             14999 traMk       
 16825 trand             15000 traMd       
 16826 trap              15001 trap        
 16837 tras              15012 tras        
 16846 trA               15021 trA         
 16858 truw              15033 truw        
 16862 trup              15037 trup        
 16865 trE               15040 trE         
 16898 trOk              ---------------
 16899 tvakz             15071 tvakz       
 16905 tvaNg             15077 tvaMg       
 16906 tvac              15078 tvac        
 16910 tvacayati         15082 tvacayati   
 16915 tvaYc             ---------------
 16919 tvar              15090 tvar        
 16932 tviz              15098 tviz        
 16937 tsar              15103 tsar        
 16941 Tarv              15107 Tarv        
 16942 Tuq               15108 Tuq         
 16945 Turv              15111 Turv        
 16950 daMS              15115 daMS        
 16966 daMs              ---------------
 16969 dakz              15133 dakz        
 16978 dakziRIkf         15141 dakziRIkf   
 16983 daG               15146 daG         
 16985 daNG              15148 daMG        
 16986 daRq              15149 daMq        
 16991 daRqAyate         15154 daMqAyate   
 17003 dad               15165 dad         
 17009 daD               15171 daD         
 17014 daDisyati         15176 daDisyati   
 17031 daB               15189 daB         
 17035 dam               15193 dam         
 17051 damB              15208 daMB        
 17057 day               15214 day         
 17071 daridrA           15228 daridrA     
 17094 dal               15249 dal         
 17106 davayati          15261 davayati    
 17123 das               15278 das         
 17131 dah               15286 dah         
 17145 dA                15299 dA          
 17200 dAn               15350 dAn         
 17253 dAS               15394 dAS         
 17265 dAs               15402 dAs         
 17291 dinv              15425 dinv        
 17292 dimp              15426 diMp        
 17296 div               15430 div         
 17306 diS               15439 diS         
 17317 dih               15448 dih         
 17320 dI                15451 dI          
 17326 dIkz              15456 dIkz        
 17336 dIDI              15465 dIDI        
 17338 dIp               15467 dIp         
 17355 dIrGIkf           15482 dIrGIkf     
 17356 dIrGIBU           15483 dIrGIBU     
 17360 du                15486 du          
 17362 duHK              15488 duHK        
 17366 duHKAyate         15490 duHKAyate   
 17369 duHKIyati         15493 duHKIyati   
 17377 duD               15501 duD         
 17386 dundumAyate       15510 duMdumAyate 
 17392 durv              15515 durv        
 17393 dul               15516 dul         
 17396 duvasyati         15519 duvasyati   
 17400 duz               15523 duz         
 17422 duh               15545 duh         
 17435 dU                15556 dU          
 17454 df                15569 df          
 17458 dfMh              15572 dfMh        
 17464 dfQayati          15577 dfQayati    
 17465 dfQIkf            15578 dfQIkf      
 17471 dfp               15584 dfp         
 17457 dfP               ---------------
 17478 dfB               15591 dfB         
 17481 dfmp              15594 dfMp        
 17483 dfS               15596 dfS         
 17510 dfh               15619 dfh         
 17511 dF                15620 dF          
 17513 de                15622 de          
 17516 dev               15625 dev         
 17564 dE                15666 dE          
 17569 dEtyAya           ---------------
 17592 do                15689 do          
 17602 dolAyate          15696 dolAyate    
 17662 dyu               15749 dyu         
 17666 dyut              15753 dyut        
 17685 dyE               15770 dyE         
 17690 draQayati         15774 draQayati   
 17694 dram              15777 dram        
 17701 dravasyati        15782 dravasyati  
 17715 drA               15793 drA         
 17719 drAK              15797 drAK        
 17720 drAG              15798 drAG        
 17721 drAGayati         15799 drAGayati   
 17725 drANkz            15803 drAMkz      
 17726 drAq              15804 drAq        
 17737 drAh              15815 drAh        
 17739 dru               15816 dru         
 17744 druq              15821 druq        
 17745 druR              15822 druR        
 17753 druh              15830 druh        
 17764 drU               15840 drU         
 17768 drek              15844 drek        
 17770 drE               15845 drE         
 17798 dvArIkf           ---------------
 17803 dvitIyAkf         15873 dvitIyAkf   
 17813 dviz              15882 dviz        
 17827 dvf               15896 dvf         
 17836 dvEDIkf           15905 dvEDIkf     
 17839 dvEDIBU           15907 dvEDIBU     
 17858 Dakk              15924 Dakk        
 17864 DaR               15929 DaR         
 17866 Dan               15931 Dan         
 17871 DanAyati          15936 DanAyati    
 17877 DanIyati          15941 DanIyati    
 17894 Dam               ---------------
 17898 DamaDamAy         ---------------
 17903 Damb              ---------------
 17942 DA                16000 DA          
 17996 DAv               16048 DAv         
 18005 Di                16056 Di          
 18009 Dikkf             16059 Dikkf       
 18012 Dikz              16062 Dikz        
 18016 Diz               16066 Diz         
 18021 DI                16070 DI          
 18035 Du                16084 Du          
 18040 Dukz              16089 Dukz        
 18039 Dunayati          16088 Dunayati    
 18052 Durv              16098 Durv        
 18057 DU                16103 DU          
 18066 DUp               16111 DUp         
 18073 DUmayati          16117 DUmayati    
 18077 DUmAyati          16120 DUmAyati    
 18086 DUr               16128 DUr         
 18089 DUrv              16131 DUrv        
 18094 DUS               16136 DUS         
 18098 Df                16140 Df          
 18109 Dfj               16148 Dfj         
 18110 Dfz               16149 Dfz         
 18119 De                16158 De          
 18132 Dor               16171 Dor         
 18147 DmA               16184 DmA         
 18153 DmANkz            16190 DmAMkz      
 18158 DyE               16195 DyE         
 18167 Draj              16202 Draj        
 18170 DraR              16205 DraR        
 18171 Dras              16206 Dras        
 18172 DrA               16207 DrA         
 18173 DrAK              16208 DrAK        
 18174 DrAG              16209 DrAG        
 18175 DrANkz            16210 DrAMkz      
 18176 DrAq              16211 DrAq        
 18178 Drij              16213 Drij        
 18179 Dru               16214 Dru         
 18184 Drek              16219 Drek        
 18185 DrE               16220 DrE         
 18187 DvaMs             16222 DvaMs       
 18196 Dvaj              16230 Dvaj        
 18202 DvaR              16236 DvaR        
 18203 Dvan              16237 Dvan        
 18213 Dvf               16247 Dvf         
 18220 nakk              16252 nakk        
 18226 nakz              16258 nakz        
 18230 naK               16262 naK         
 18254 nagnIkf           16282 nagnIkf     
 18247 naj               16276 naj         
 18257 naw               16285 naw         
 18279 nad               16302 nad         
 18294 nand              16317 naMd        
 18314 naB               16335 naB         
 18328 nam               16348 nam         
 18334 namasyati         16354 namasyati   
 18345 nay               16365 nay         
 18357 narakAyate        16377 narakAyate  
 18368 nard              16386 nard        
 18375 narb              16391 narb        
 18380 narmay            ---------------
 18385 nal               16399 nal         
 18397 navIkf            16409 navIkf      
 18408 naS               16419 naS         
 18415 nas               16425 nas         
 18423 nah               16433 nah         
 18467 nAT               16473 nAT         
 18515 nAyakAyate        ---------------
 18531 nArpayati         ---------------
 18560 nAs               16551 nAs         
 18580 niMs              ---------------
 18593 niHSvas           16576 niHSvas     
 18605 niHsf             16581 niHsf       
 18618 nikam             16589 nikam       
 18639 nikf              16607 nikf        
 18645 nikft             16613 nikft       
 18648 nikfz             16616 nikfz       
 18658 nikz              16625 nikz        
 18661 nikzip            16628 nikzip      
 18668 niKan             16635 niKan       
 18675 nigaqayati        16642 nigaqayati  
 18678 nigad             16645 nigad       
 18682 nigam             16648 nigam       
 18688 nigarh            ---------------
 18690 nigup             ---------------
 18691 nigF              16654 nigF        
 18702 nigrah            16663 nigrah      
 18715 niGfz             16676 niGfz       
 18721 nici              16681 nici        
 18736 nij               16695 nij         
 18739 niYj              16698 niMj        
 18743 nitap             ---------------
 18754 nid               16712 nid         
 18764 nidiS             16721 nidiS       
 18773 nidrA             16728 nidrA       
 18780 niDA              16735 niDA        
 18785 niDyE             16740 niDyE       
 18791 ninad             16746 ninad       
 18796 ninard            16751 ninard      
 18799 ninI              16754 ninI        
 18803 nind              16758 niMd        
 18812 nipat             16766 nipat       
 18821 nipA              16775 nipA        
 18827 nipIq             16781 nipIq       
 18834 nibanD            16786 nibaMD      
 18846 nibuD             16795 nibuD       
 18849 niBal             16798 niBal       
 18856 nimantr           16803 nimaMtr     
 18859 nimasj            16806 nimasj      
 18863 nimA              ---------------
 18871 nimiz             16815 nimiz       
 18877 nimIl             16820 nimIl       
 18886 nimb              ---------------
 18893 niyam             16833 niyam       
 18907 niyuj             16847 niyuj       
 18925 niram             ---------------
 18930 niras             16868 niras       
 18937 nirAkf            16875 nirAkf      
 18949 nirIkz            16887 nirIkz      
 18956 niruD             16894 niruD       
 18961 nirUp             16899 nirUp       
 18969 nirf              16905 nirf        
 18975 nirgam            16910 nirgam      
 18993 nirji             16926 nirji       
 19002 nirRij            16935 nirRij      
 19009 nirRI             16942 nirRI       
 19016 nirRud            16949 nirRud      
 19021 nirdah            16954 nirdah      
 19027 nirdiS            16960 nirdiS      
 19034 nirDAv            16966 nirDAv      
 19036 nirDU             16968 nirDU       
 19039 nirDf             16970 nirDf       
 19044 nirbanD           16974 nirbaMD     
 19051 nirBarts          16980 nirBarts    
 19054 nirBA             16983 nirBA       
 19056 nirBid            16985 nirBid      
 19062 nirmanT           16991 nirmaMT     
 19066 nirmA             16994 nirmA       
 19072 nirmuc            16999 nirmuc      
 19079 nirmUl            17005 nirmUl      
 19081 nirmfj            17007 nirmfj      
 19084 niryat            17010 niryat      
 19088 niryA             17012 niryA       
 19106 nirvac            17023 nirvac      
 19108 nirvap            17025 nirvap      
 19112 nirvarR           17028 nirvarR     
 19114 nirvas            17030 nirvas      
 19118 nirvah            17032 nirvah      
 19124 nirvA             17037 nirvA       
 19131 nirvid            17043 nirvid      
 19134 nirviS            17046 nirviS      
 19137 nirvf             17049 nirvf       
 19141 nirvft            17052 nirvft      
 19150 nirvyaD           ---------------
 19158 nirhf             17063 nirhf       
 19165 nil               ---------------
 19168 nilI              17071 nilI        
 19175 nivap             17077 nivap       
 19181 nivas             17083 nivas       
 19188 nivah             17090 nivah       
 19193 nivAs             ---------------
 19195 nivid             17096 nivid       
 19202 niviS             17103 niviS       
 19210 nivf              17111 nivf        
 19215 nivft             17115 nivft       
 19226 nivye             ---------------
 19227 niS               ---------------
 19231 niSam             17128 niSam       
 19253 niScar            17146 niScar      
 19256 niSci             17148 niSci       
 19266 niSvas            17156 niSvas      
 19268 niz               17158 niz         
 19269 nizaYj            17159 nizaMj      
 19273 nizad             17163 nizad       
 19285 nizic             17175 nizic       
 19290 niziD             17179 niziD       
 19295 nizUd             17183 nizUd       
 19297 nizev             17185 nizev       
 19301 nizk              17189 nizk        
 19303 nizkal            ---------------
 19312 nizkulAkf         ---------------
 19313 nizkuz            17198 nizkuz      
 19318 nizkf             17203 nizkf       
 19322 nizkft            17207 nizkft      
 19324 nizkfz            17209 nizkfz      
 19328 nizkram           17213 nizkram     
 19333 nizkrI            17217 nizkrI      
 19339 nizwap            17222 nizwap      
 19352 nizWiv            17233 nizWiv      
 19360 nizpat            17239 nizpat      
 19364 nizpad            17241 nizpad      
 19369 nizpiz            17246 nizpiz      
 19373 nizpU             17249 nizpU       
 19384 nisfj             17258 nisfj       
 19390 nistud            ---------------
 19392 nistF             17264 nistF       
 19404 nihan             17277 nihan       
 19414 nihnu             17287 nihnu       
 19420 nI                17293 nI          
 19437 nIcIkf            17309 nIcIkf      
 19452 nIlati            17322 nIlati      
 19456 nIv               ---------------
 19467 nu                17335 nu          
 19471 nuq               17339 nuq         
 19472 nud               17340 nud         
 19476 nU                17343 nU          
 19478 nUtanayati        17345 nUtanayati  
 19487 nft               17352 nft         
 19498 nF                ---------------
 19510 ned               17367 ned         
 19524 nez               17377 nez         
 19621 nyakkf            17463 nyakkf      
 19623 nyagBU            17465 nyagBU      
 19630 nyaYc             17472 nyaMc       
 19634 nyaYj             17476 nyaMj       
 19641 nyavekz           ---------------
 19642 nyas              17481 nyas        
 19647 nyAsIkf           17486 nyAsIkf     
 19656 nyuc              17525 nyuc        
 19658 nyubj             17527 nyubj       
 19662 nyUnayati         17530 nyUnayati   
 19672 pakz              17537 pakz        
 19683 pakzIkf           ---------------
 19690 paNkaya           ---------------
 19705 pac               17565 pac         
 19730 paYc              ---------------
 19758 paw               17610 paw         
 19790 paW               17636 paW         
 19800 paR               17641 paR         
 19816 paRq              17655 paMq        
 19825 pat               17662 pat         
 19856 patIyati          17692 patIyati    
 19876 paT               17709 paT         
 19885 pad               17718 pad         
 19898 padIkf            ---------------
 19914 pan               17743 pan         
 19915 panasyati         17744 panasyati   
 19921 panT              ---------------
 19928 pay               17755 pay         
 19931 payasyati         17758 payasyati   
 ---------------      17759 payAyate    
 19971 parAkf            17795 parAkf      
 19975 parAkram          17798 parAkram    
 19981 parAgam           17803 parAgam     
 19987 parAji            17808 parAji      
 19996 parAdA            17815 parAdA      
 20000 parApat           17819 parApat     
 20001 parABU            17820 parABU      
 20009 parAmfS           17825 parAmfS     
 20021 parAvft           17836 parAvft     
 20030 parAs             17843 parAs       
 20039 parAhan           17849 parAhan     
 20050 parikarmayati      17859 parikarmayati
 20053 parikal           17861 parikal     
 20060 parikfz           17867 parikfz     
 20063 parikF            17870 parikF      
 20065 parikFt           17872 parikFt     
 20068 parikxp           17875 parikxp     
 20073 parikram          17879 parikram    
 20078 parikrI           17884 parikrI     
 20081 parikliS          17887 parikliS    
 20092 parikzi           17896 parikzi     
 20096 parikzip          17900 parikzip    
 20100 pariKaRqayati      17904 pariKaMqayati
 20103 pariKid           17907 pariKid     
 20106 pariKyA           17910 pariKyA     
 20109 parigaR           17912 parigaR     
 20111 parigam           17914 parigam     
 20119 parigE            17920 parigE      
 20121 parigrah          17922 parigrah    
 20133 pariGaww          17932 pariGaww    
 20138 pariGrA           ---------------
 20139 paricakz          17937 paricakz    
 20143 paricar           17940 paricar     
 20156 parici            17950 parici      
 20161 paricint          17954 pariciMt    
 20163 paricud           ---------------
 20164 paricumb          17956 paricuMb    
 20166 paricCad          17958 paricCad    
 20171 paricCid          17963 paricCid    
 20178 paricyu           17970 paricyu     
 20186 parijYA           17975 parijYA     
 20195 pariRam           17983 pariRam     
 20201 pariRah           17989 pariRah     
 20209 pariRI            17997 pariRI      
 20221 paritap           18004 paritap     
 20226 paritark          18008 paritark    
 20230 parituz           18011 parituz     
 20235 paritfp           18016 paritfp     
 20239 parityaj          18018 parityaj    
 20247 paritrE           18024 paritrE     
 20251 paridah           18027 paridah     
 20255 paridA            18031 paridA      
 20259 paridiv           18035 paridiv     
 20264 paridfS           18039 paridfS     
 20267 pariDA            18042 pariDA      
 20275 pariDAv           18049 pariDAv     
 20296 paripat           18065 paripat     
 20306 paripA            18075 paripA      
 20315 paripIq           18083 paripIq     
 20319 paripU            18086 paripU      
 20329 paripracC         18095 paripracC   
 20332 paripravac        ---------------
 20336 pariplu           18101 pariplu     
 20341 paribanD          18105 paribaMD    
 20343 paribAD           18107 paribAD     
 20345 paribfMh          18109 paribfMh    
 20355 pariBAz           18116 pariBAz     
 20360 pariBuj           18121 pariBuj     
 20364 pariBU            18125 pariBU      
 20375 pariBUz           18134 pariBUz     
 20378 pariBraMS         18136 pariBraMS   
 20383 pariBram          18140 pariBram    
 20387 parimaRqalay      ---------------
 20395 parimA            18149 parimA      
 20402 parimArg          18156 parimArg    
 20407 parimuc           18161 parimuc     
 20409 parimuh           18163 parimuh     
 20413 parimfj           18167 parimfj     
 20416 parimfd           18170 parimfd     
 20419 parimfS           18173 parimfS     
 20422 parimfz           18176 parimfz     
 20429 parimlE           18182 parimlE     
 20434 parirakz          18185 parirakz    
 20439 pariraB           18190 pariraB     
 20449 parilup           18194 parilup     
 20459 parivad           18200 parivad     
 20470 parivah           18210 parivah     
 20495 parivf            18232 parivf      
 20502 parivft           18238 parivft     
 20513 parivfD           18247 parivfD     
 20524 parivezw          18255 parivezw    
 20529 parivraj          18259 parivraj    
 20532 pariSaNk          18262 pariSaMk    
 20537 pariSiz           18265 pariSiz     
 20547 pariSuz           18274 pariSuz     
 20567 parizkand         18290 parizkaMd   
 20571 parizkf           18294 parizkf     
 20582 parizvaj          ---------------
 ---------------      18305 parizvaMj   
 20587 parisaMKyA        18309 parisaMKyA  
 20591 parisaMcakz       ---------------
 20599 parisf            18318 parisf      
 20604 parisfp           18322 parisfp     
 20608 paristf           18325 paristf     
 20616 parisPur          18330 parisPur    
 20627 parihas           18339 parihas     
 20630 parihA            18342 parihA      
 20637 parihf            18346 parihf      
 20646 parI              18352 parI        
 20648 parIkz            18354 parIkz      
 20671 pare              18373 pare        
 20689 parR              18388 parR        
 20697 pard              18395 pard        
 20699 parp              18397 parp        
 20706 parb              18403 parb        
 20710 paryaw            ---------------
 20725 paryavazwamB      18417 paryavazwaMB
 20727 paryavaso         18419 paryavaso   
 20731 paryavasTA        18422 paryavasTA  
 20736 paryas            18426 paryas      
 20745 paryAkzip         ---------------
 20746 paryAgam          18434 paryAgam    
 20751 paryAp            18437 paryAp      
 20762 paryAloc          18444 paryAloc    
 20773 paryudas          18453 paryudas    
 20778 paryupAs          18457 paryupAs    
 20788 parv              18465 parv        
 20794 parvatIkf         18470 parvatIkf   
 20801 parz              18475 parz        
 20805 pal               18478 pal         
 20817 palAy             18490 palAy       
 20843 palyul            ---------------
 20847 pallavati         18512 pallavati   
 20867 pavitrayati       18527 pavitrayati 
 20895 pA                18548 pA          
 21026 pAtrayati         18659 pAtrayati   
 21030 pAtrIkf           18663 pAtrIkf     
 21042 pAdayati          ---------------
 21087 pAr               ---------------
 21100 pArayati          18726 pArayati    
 21246 pAl               ---------------
 21283 pASayati          18880 pASayati    
 21301 pi                18897 pi          
 21302 piMs              18898 piMs        
 21321 picc              18913 picc        
 21325 picC              18917 picC        
 21333 piYj              18924 piMj        
 21349 piw               18938 piw         
 21357 piW               18944 piW         
 21363 piRq              18949 piMq        
 21377 piRqIkf           18962 piMqIkf     
 21378 piRqIBU           18963 piMqIBU     
 21397 piDA              18978 piDA        
 21403 pinah             18983 pinah       
 21410 pinv              18987 pinv        
 21427 pil               19002 pil         
 21432 piS               19006 piS         
 21444 piSunayati        19018 piSunayati  
 21447 piz               19020 piz         
 21455 pis               19026 pis         
 21458 pI                19028 pI          
 21464 pIq               19033 pIq         
 21484 pIl               19053 pIl         
 21489 pIv               19057 pIv         
 21494 puMs              19062 puMs        
 21506 pucC              ---------------
 21511 puYjayati         19076 puMjayati   
 21516 puw               19080 puw         
 21524 puwIkf            ---------------
 21525 puww              19087 puww        
 21526 puq               19088 puq         
 21527 puR               19089 puR         
 21528 puRw              19090 puMw        
 21529 puRq              19091 puMq        
 21551 putrIkf           19110 putrIkf     
 ---------------      19111 putrIyati   
 21554 puT               19113 puT         
 21557 punT              ---------------
 21563 pur               ---------------
 21576 puraskf           19130 puraskf     
 21602 purIzayati        19153 purIzayati  
 21610 puruzAyate        19160 puruzAyate  
 21584 puroDA            19137 puroDA      
 21616 purv              19166 purv        
 21617 pul               19167 pul         
 21620 pulakayati        19170 pulakayati  
 21638 puz               19186 puz         
 21644 puzkarAyate       19191 puzkarAyate 
 21651 puzp              19198 puzp        
 21665 pus               19211 pus         
 21666 pust              19212 pust        
 21669 pU                19215 pU          
 21677 pUj               19221 pUj         
 21685 pUR               19229 pUR         
 21687 pUtkf             19231 pUtkf       
 21696 pUy               19239 pUy         
 21699 pUr               19242 pUr         
 21714 pUrv              ---------------
 21725 pUl               19266 pUl         
 21730 pUz               19271 pUz         
 21733 pf                19274 pf          
 21734 pfc               19275 pfc         
 21742 pfYj              19283 pfMj        
 21743 pfq               19284 pfq         
 21750 pftanyati         19289 pftanyati   
 21752 pfT               19291 pfT         
 21769 pfz               19308 pfz         
 21787 pF                19325 pF          
 21797 peR               19334 peR         
 21806 pel               19341 pel         
 21812 pev               ---------------
 21819 pez               19350 pez         
 21825 pezIkf            ---------------
 21826 pes               19356 pes         
 21828 pE                19358 pE          
 21975 pyAy              19480 pyAy        
 21979 pyuz              ---------------
 21980 pyE               19484 pyE         
 21986 prakawati         19488 prakawati   
 21987 prakawayati       19489 prakawayati 
 21989 prakaT            19491 prakaT      
 21991 prakamp           ---------------
 21995 prakal            19497 prakal      
 22004 prakAS            19505 prakAS      
 22013 prakup            19514 prakup      
 22020 prakf             19521 prakf       
 22032 prakfz            19531 prakfz      
 22039 prakF             19538 prakF       
 22043 prakFt            19542 prakFt      
 22048 prakxp            19546 prakxp      
 22058 prakram           19555 prakram     
 22071 prakzal           19567 prakzal     
 22074 prakzi            19570 prakzi      
 22078 prakzip           19573 prakzip     
 22083 prakzud           19578 prakzud     
 22085 prakzuB           19580 prakzuB     
 22087 prakzRu           ---------------
 22092 praKyA            19585 praKyA      
 22102 pragam            19594 pragam      
 22108 pragalB           19599 pragalB     
 22120 praguRayati       19610 praguRayati 
 22118 praguRIBU         ---------------
 22126 pragrah           19616 pragrah     
 22134 praGaw            19623 praGaw      
 22146 pracakz           19633 pracakz     
 22152 pracar            19638 pracar      
 22160 pracal            19645 pracal      
 22171 praci             19654 praci       
 22177 pracud            19659 pracud      
 22187 pracurIBU         19668 pracurIBU   
 22192 pracC             19673 pracC       
 22194 pracCad           19675 pracCad     
 22206 pracCid           ---------------
 22209 pracyu            19687 pracyu      
 22217 prajan            19693 prajan      
 22235 prajAgf           19711 prajAgf     
 22242 prajU             19716 prajU       
 22246 prajfmB           ---------------
 22248 prajYA            19720 prajYA      
 22260 prajval           19729 prajval     
 22268 praRad            19735 praRad      
 22272 praRam            19739 praRam      
 22279 praRaS            19743 praRaS      
 22288 praRigad          ---------------
 22290 praRiDA           19754 praRiDA     
 22296 praRipat          19760 praRipat    
 22298 praRihan          ---------------
 22299 praRI             19762 praRI       
 22311 praRu             19773 praRu       
 22313 praRud            19775 praRud      
 22319 pratan            19781 pratan      
 22327 pratap            19788 pratap      
 22336 pratam            19795 pratam      
 22340 pratark           19797 pratark     
 22351 pratikf           19807 pratikf     
 22367 pratikzip         19823 pratikzip   
 22373 pratigad          ---------------
 22374 pratigam          19828 pratigam    
 22379 pratigarj         19832 pratigarj   
 22381 pratigrah         19834 pratigrah   
 22395 praticakz         19848 praticakz   
 22402 praticCad         19853 praticCad   
 22414 pratijYA          19864 pratijYA    
 22423 pratidA           19872 pratidA     
 22432 pratidfS          19878 pratidfS    
 22435 pratiDA           19880 pratiDA     
 22442 pratinad          19887 pratinad    
 22445 pratinand         19890 pratinaMd   
 22448 pratiniDA         19893 pratiniDA   
 22461 pratinud          19902 pratinud    
 22463 pratipad          19904 pratipad    
 22483 pratipUj          19921 pratipUj    
 22499 pratiPal          19935 pratiPal    
 22503 pratibanD         19939 pratibaMD   
 22513 pratibAD          19947 pratibAD    
 22518 pratibimbayati      19952 pratibiMbayati
 22520 pratibuD          19954 pratibuD    
 22527 pratibrU          ---------------
 22528 pratiBaj          19961 pratiBaj    
 22530 pratiBA           19963 pratiBA     
 22537 pratiBAz          19970 pratiBAz    
 22539 pratiBAs          19972 pratiBAs    
 22542 pratiBid          19975 pratiBid    
 22552 pratimA           19981 pratimA     
 22557 pratimuc          19985 pratimuc    
 22562 pratiyat          19989 pratiyat    
 22566 pratiyam          ---------------
 22567 pratiyA           19993 pratiyA     
 22570 pratiyuD          19996 pratiyuD    
 22582 pratiruD          20006 pratiruD    
 22588 pratilaB          20011 pratilaB    
 22593 prativac          20014 prativac    
 22600 prativad          20019 prativad    
 22603 prativaD          ---------------
 22604 prativand         ---------------
 22605 prativap          20022 prativap    
 22616 prativijYA        ---------------
 22617 prativid          20032 prativid    
 22618 prativiDA         20033 prativiDA   
 22634 pratiSak          ---------------
 22646 pratiSru          20053 pratiSru    
 22651 pratiziD          20058 pratiziD    
 22661 pratizWA          20068 pratizWA    
 22682 pratisaMhf        20079 pratisaMhf  
 22693 pratisaMDA        20088 pratisaMDA  
 22704 pratisf           20096 pratisf     
 22718 pratihan          20107 pratihan    
 22726 pratihf           20115 pratihf     
 22734 pratI             20122 pratI       
 22740 pratIkz           20128 pratIkz     
 22755 pratIpayati       20145 pratIpayati 
 22756 pratIpAyate       20146 pratIpAyate 
 22761 pratIz            20151 pratIz      
 22765 pratud            20155 pratud      
 22772 pratfd            ---------------
 22774 pratF             20160 pratF       
 22787 pratyakzayati      20172 pratyakzayati
 22789 pratyakzIkf       20174 pratyakzIkf 
 22793 pratyaBijYA       20178 pratyaBijYA 
 22797 pratyaBinand      ---------------
 22803 pratyaBivad       20185 pratyaBivad 
 22811 pratyarT          20191 pratyarT    
 22824 pratyavasTA       20202 pratyavasTA 
 22830 pratyavekz        20207 pratyavekz  
 22838 pratyAKyA         20212 pratyAKyA   
 22842 pratyAgam         20215 pratyAgam   
 22846 pratyAdA          20218 pratyAdA    
 22848 pratyAdiS         20220 pratyAdiS   
 22874 pratyAhf          20239 pratyAhf    
 22881 pratyujjIv        20246 pratyujjIv  
 22889 pratyudgam        20254 pratyudgam  
 22898 pratyupakf        20262 pratyupakf  
 22916 pratyUh           20276 pratyUh     
 22920 praT              20278 praT        
 22941 pradah            20299 pradah      
 22944 pradA             20301 pradA       
 22954 pradiS            20311 pradiS      
 22960 pradih            20317 pradih      
 22964 pradIp            20320 pradIp      
 22970 praduz            20326 praduz      
 22976 pradfS            20332 pradfS      
 22982 pradyut           20338 pradyut     
 22989 pradru            20344 pradru      
 22993 pradrek           ---------------
 22995 pradviz           20349 pradviz     
 23004 praDAv            20357 praDAv      
 23011 praDf             20362 praDf       
 23013 praDfz            20364 praDfz      
 23019 praDmA            20370 praDmA      
 23021 praDyE            ---------------
 23023 praDvaMs          20373 praDvaMs    
 23033 pranft            20383 pranft      
 23040 prapaYcayati      20390 prapaMcayati
 23042 prapaW            20392 prapaW      
 23046 prapat            20395 prapat      
 23055 prapad            20403 prapad      
 23078 prapIq            20425 prapIq      
 23087 prapF             20433 prapF       
 23098 prabanD           20443 prabaMD     
 23107 prabalati         20451 prabalati   
 23109 prabAD            20452 prabAD      
 23118 prabuD            20461 prabuD      
 23127 prabrU            20469 prabrU      
 23128 praBaYj           20470 praBaMj     
 23134 praBA             20474 praBA       
 23141 praBAz            20480 praBAz      
 23144 praBAs            20482 praBAs      
 23148 praBid            20486 praBid      
 23152 praBU             20490 praBU       
 23168 praBraMS          20506 praBraMS    
